"","States","Date","Totalcases","Newcases","Confirmedcases","Probablecases","TotalPCR","TotalABT_p","TotalABT_s","Totaltests","Recovered","Totaldeath","Newdeath","Probabledeath","Confirmeddeath"
"1","alabama",2020-12-10,284922,4735,234992,49930,1684362,76322,NA,1760684,174805,4034,49,465,3569
"2","alabama",2020-12-09,280187,3522,231539,48648,1673164,75780,NA,1748944,174805,3985,43,460,3525
"3","alabama",2020-12-08,276665,4436,229007,47658,1664090,75221,NA,1739311,168387,3942,50,446,3496
"4","alabama",2020-12-07,272229,2352,225789,46440,1651573,74956,NA,1726529,168387,3892,3,427,3465
"5","alabama",2020-12-06,269877,2288,223915,45962,1645041,74784,NA,1719825,168387,3889,12,427,3462
"6","alabama",2020-12-05,267589,3390,221804,45785,1637161,74594,NA,1711755,168387,3877,46,423,3454
"7","alabama",2020-12-04,264199,3840,219069,45130,1626368,74069,NA,1700437,168387,3831,55,420,3411
"8","alabama",2020-12-03,260359,3531,215938,44421,1615948,73588,NA,1689536,168387,3776,65,401,3375
"9","alabama",2020-12-02,256828,3928,213172,43656,1603523,73187,NA,1676710,168387,3711,73,385,3326
"10","alabama",2020-12-01,252900,3376,210037,42863,1593842,71828,NA,1665670,161946,3638,60,358,3280
"11","alabama",2020-11-30,249524,2295,208023,41501,1584347,71698,NA,1656045,161946,3578,1,332,3246
"12","alabama",2020-11-29,247229,2236,205943,41286,1579713,71698,NA,1651411,161946,3577,5,332,3245
"13","alabama",2020-11-28,244993,2119,204110,40883,1573902,71335,NA,1645237,161946,3572,0,332,3240
"14","alabama",2020-11-27,242874,917,202473,40401,1567713,71131,NA,1638844,161946,3572,0,332,3240
"15","alabama",2020-11-26,241957,2639,201755,40202,1562942,70846,NA,1633788,161946,3572,40,332,3240
"16","alabama",2020-11-25,239318,2453,199626,39692,1553587,70609,NA,1624196,161946,3532,60,325,3207
"17","alabama",2020-11-24,236865,2785,197848,39017,1544865,70247,NA,1615112,90702,3472,13,307,3165
"18","alabama",2020-11-23,234080,1574,195887,38193,1533628,70036,NA,1603664,90702,3459,2,304,3155
"19","alabama",2020-11-22,232506,1798,194585,37921,1525386,69857,NA,1595243,90702,3457,0,304,3153
"20","alabama",2020-11-21,230708,2335,193095,37613,1518186,69591,NA,1587777,90702,3457,6,304,3153
"21","alabama",2020-11-20,228373,2463,191408,36965,1508212,69249,NA,1577461,90702,3451,32,303,3148
"22","alabama",2020-11-19,225910,2424,189461,36449,1496717,68847,NA,1565564,90702,3419,72,296,3123
"23","alabama",2020-11-18,223486,2638,187623,35863,1481668,68534,NA,1550202,88038,3347,46,274,3073
"24","alabama",2020-11-17,220848,1616,185874,34974,1473546,68223,NA,1541769,88038,3301,52,261,3040
"25","alabama",2020-11-16,219232,1410,184645,34587,1466603,68042,NA,1534645,88038,3249,1,248,3001
"26","alabama",2020-11-15,217822,1979,183491,34331,1459406,67964,NA,1527370,88038,3248,2,248,3000
"27","alabama",2020-11-14,215843,2226,181895,33948,1453155,67747,NA,1520902,88038,3246,15,248,2998
"28","alabama",2020-11-13,213617,2980,180275,33342,1440875,67410,NA,1508285,88038,3231,18,242,2989
"29","alabama",2020-11-12,210637,2000,178013,32624,1421590,67066,NA,1488656,88038,3213,12,243,2970
"30","alabama",2020-11-11,208637,2070,176355,32282,1421590,66749,NA,1488339,84471,3201,81,243,2958
"31","alabama",2020-11-10,206567,1710,174987,31580,1406139,66544,NA,1472683,84471,3120,36,230,2890
"32","alabama",2020-11-09,204857,1170,173854,31003,1406829,66370,NA,1473199,84471,3084,0,219,2865
"33","alabama",2020-11-08,203687,1205,172874,30813,1402691,66292,NA,1468983,84471,3084,2,219,2865
"34","alabama",2020-11-07,202482,1768,171773,30709,1396368,66104,NA,1462472,84471,3082,33,218,2864
"35","alabama",2020-11-06,200714,1556,170446,30268,1387448,65871,NA,1453319,84471,3049,23,210,2839
